24	T-Hen	477	241,73	298,13	30	3,203	7	3,203	9,61	22,42	671,4	440,5	1111,9	60,4	39,6	10789	10403	0,1221	0,1518	0,1624	0,1747	0,1875	0,00926	0,3531	0,2144	724	870	979	1066
25	T-Osprey	556,5	281,84	297,5	18	4,465	1	4,465	4,47	22,33	777	121,8	898,9	86,4	13,6	6203	6096	0,104	0,1292	0,1395	0,1505	0,1596	0,00867	0,3581	0,2146	784	938	1054	1154
26	T-Parakeet	556,5	282,02	318,56	24	3,868	7	2,578	7,73	23,21	781,4	285,4	1066,8	73,2	26,8	8991	8741	0,1044	0,1298	0,1402	0,151	0,1604	0,00932	0,3526	0,2127	790	945	1063	1163
27	T-Dove	556,5	281,98	327,93	26	3,716	7	2,891	8,67	23,54	781,2	358,9	1140,2	68,5	31,5	10277	9962	0,1045	0,1298	0,1402	0,151	0,1604	0,00955	0,3508	0,2121	793	949	1067	1168
28	T-Eagle	556,5	281,91	347,69	30	3,459	7	3,459	10,38	24,21	783	513,8	1296,8	60,4	39,6	12583	12132	0,1047	0,1301	0,1405	0,1514	0,1608	0,01	0,3473	0,2107	798	955	1074	1176
29	T-Peacock	605	306,74	346,52	24	4,034	7	2,69	8,07	24,21	849,8	310,7	1160,6	73,2	26,8	9785	9512	0,096	0,1194	0,129	0,1391	0,149	0,00972	0,3494	0,2107	833	997	1120	1221
30	T-Squab	605	306,47	356,35	26	3,874	7	3,012	9,04	24,53	849,1	389,6	1238,7	68,5	31,5	11045	10703	0,0961	0,1194	0,129	0,1391	0,149	0,00996	0,3476	0,2101	836	1000	1124	1226
31	T-Wood Duck	605	306,55	378,08	30	3,607	7	3,607	10,82	25,25	851,4	558,7	1410,1	60,4	39,6	13106	12615	0,0963	0,1194	0,129	0,1391	0,149	0,01043	0,3441	0,2087	842	1008	1133	1236
32	T-Teal	605	306,55	376,43	30	3,607	19	2,164	10,82	25,25	851,4	546,9	1398,3	60,9	39,1	13594	13130	0,0963	0,1194	0,129	0,1391	0,149	0,01043	0,3441	0,2087	842	1008	1133	1236
33	T-Duck	605	306,67	346,42	54	2,689	7	2,689	8,07	24,2	849,7	310,5	1160,1	73,2	26,8	10075	9802	0,096	0,1194	0,129	0,1391	0,149	0,0098	0,3488	0,2107	833	996	1120	1221
34	T-Kingbird	636	322,34	340,25	18	4,775	1	4,775	4,78	23,88	888,7	139,3	1028,1	86,4	13,6	7095	6972	0,0909	0,1141	0,1221	0,1345	0,141	0,00927	0,353	0,2114	849	1021	1135	1251
35	T-Swift	636	322,25	331,2	36	3,376	1	3,376	3,38	23,63	888,5	69,6	958,1	92,7	7,3	6231	6170	0,091	0,1141	0,1221	0,1345	0,141	0,00919	0,3537	0,2119	776	931	1034	1138
36	T-Rook	636	322,29	364,05	24	4,135	7	2,756	8,27	24,81	892,9	326,2	1219,1	73,2	26,8	10276	9989	0,0914	0,1147	0,1227	0,1351	0,1417	0,00997	0,3475	0,2095	855	1029	1144	1261
37	T-Grosbeak	636	322,33	374,79	26	3,973	7	3,089	9,27	25,16	893	409,8	1302,8	68,5	31,5	11412	11052	0,0914	0,1147	0,1227	0,1351	0,1417	0,01021	0,3457	0,2089	858	1032	1149	1266
38	T-Scoter	636	322,22	397,39	30	3,698	7	3,698	11,09	25,89	894,9	587,2	1482,1	60,4	39,6	13775	13260	0,0916	0,1147	0,1227	0,1351	0,1417	0,0107	0,3422	0,2075	865	1040	1158	1276
39	T-Egret	636	322,21	395,75	30	3,698	19	2,22	11,1	25,89	894,9	575,6	1470,5	60,9	39,1	14301	13812	0,0916	0,115	0,123	0,1354	0,1421	0,0107	0,3422	0,2075	864	1039	1156	1274
