38		600	303,74	30	3,233	7	3,233	22,63	679	157,7	836,7	81,2	18,8	5786	0,0972	0,1193	0,00869	0,3579	0,2139	819
39		600	303,74	24	3,233	13	3,233	22,63	543,2	292,8	836	65	35	6396	0,0996	0,1218	0,00869	0,3579	0,2139	810
40		600	303,74	18	3,233	19	3,233	22,63	407,4	428	835,4	48,8	51,2	7139	0,1021	0,1243	0,00869	0,3579	0,2139	802
41		650	329,05	33	3,365	4	3,365	23,56	809,1	97,6	906,7	89,2	10,8	5733	0,0887	0,1094	0,00904	0,3549	0,212	864
42		650	329,05	30	3,365	7	3,365	23,56	735,6	170,8	906,4	81,2	18,8	6187	0,0897	0,11	0,00904	0,3549	0,212	862
43		650	329,05	24	3,365	13	3,365	23,56	588,5	317,2	905,7	65	35	6783	0,0919	0,1125	0,00904	0,3549	0,212	852
44		650	329,05	18	3,365	19	3,365	23,56	441,4	463,6	905	48,8	51,2	7521	0,0942	0,115	0,00904	0,3549	0,212	843
45		700	354,56	33	3,493	4	3,493	24,45	871,9	105,2	977	89,2	10,8	6177	0,0823	0,1013	0,00939	0,3521	0,2102	907
46		700	354,56	30	3,493	7	3,493	24,45	792,6	184,1	976,7	81,2	18,8	6667	0,0833	0,1025	0,00939	0,3521	0,2102	901
47		700	354,55	24	3,493	13	3,493	24,45	634,1	341,8	975,9	65	35	7309	0,0853	0,1044	0,00939	0,3521	0,2102	893
48		700	354,56	18	3,493	19	3,493	24,45	475,6	499,6	975,1	48,8	51,2	8104	0,0874	0,1069	0,00939	0,3521	0,2102	883
49		750	380,18	33	3,617	4	3,617	25,32	934,9	112,8	1047,6	89,2	10,8	6529	0,0768	0,0951	0,00972	0,3494	0,2086	944
50		750	380,18	30	3,617	7	3,617	25,32	849,9	197,4	1047,2	81,2	18,8	7061	0,0777	0,0957	0,00972	0,3494	0,2086	941
51		750	380,18	24	3,617	13	3,617	25,32	679,9	366,5	1046,4	65	35	7767	0,0796	0,0976	0,00972	0,3494	0,2086	932
52		750	380,18	18	3,617	19	3,617	25,32	509,9	535,7	1045,6	48,8	51,2	8635	0,0815	0,0994	0,00972	0,3494	0,2086	923
53		800	405,17	33	3,734	4	3,734	26,14	996,3	120,2	1116,5	89,2	10,8	6958	0,072	0,0895	0,01004	0,347	0,2071	981
54		800	405,17	30	3,734	7	3,734	26,14	905,7	210,3	1116,1	81,2	18,8	7525	0,0729	0,0901	0,01004	0,347	0,2071	978
55		800	405,17	24	3,734	13	3,734	26,14	724,6	390,6	1115,2	65	35	8278	0,0747	0,092	0,01004	0,347	0,2071	968
56		800	405,17	18	3,734	19	3,734	26,14	543,4	570,9	1114,3	48,8	51,2	9203	0,0765	0,0938	0,01004	0,347	0,2071	958
