0	AeroZ Linnet	426,3	216	18,31	816,3	7095	0,1364	0,1604	1023
1	AeroZ Ibis	501,3	254	19,88	961,9	8259	0,116	0,1364	1138
2	AeroZ Hawk	601,9	305	21,8	1157,2	9742	0,0966	0,1137	1334
3	AeroZ Dove	702,6	356	23,55	1349,8	11351	0,0827	0,0975	1418
4	AeroZ Grosbeak	801,3	406	25,15	1539,9	12753	0,0725	0,0851	1592
5	AeroZ Starling	901,9	457	26,68	1733,3	14360	0,0645	0,0758	1667
6	AeroZ Drake	1000,6	507	28,11	1923,1	15918	0,0581	0,0686	1801
7	AeroZ Rail	1154,5	585	29,61	1889,1	13231	0,0503	0,0605	1948
8	AeroZ Bluejay	1347,90	683	31,98	2203,5	15372	0,0431	0,0524	2214
