32	Teal	605	306,55	376,43	30	3,607	19	2,164	10,82	25,25	851,4	546,9	1398,3	60,9	39,1	13594	13130	0,0944	0,1125	0,01043	0,3441	0,2087	868
33	Duck	605	306,67	346,42	54	2,689	7	2,689	8,07	24,2	849,7	310,5	1160,1	73,2	26,8	10075	9802	0,0942	0,1122	0,0098	0,3488	0,2107	859
34	Kingbird	636	322,34	340,25	18	4,775	1	4,775	4,78	23,88	888,7	139,3	1028,1	86,4	13,6	7095	6972	0,0891	0,1062	0,00927	0,353	0,2114	880
35	Swift	636	322,25	331,2	36	3,376	1	3,376	3,38	23,63	888,5	69,6	958,1	92,7	7,3	6230	6168	0,0892	0,1063	0,00919	0,3537	0,2119	804
36	Rook	636	322,29	364,05	24	4,135	7	2,756	8,27	24,81	892,9	326,2	1219,1	73,2	26,8	10276	9990	0,0896	0,1081	0,00997	0,3475	0,2095	881
37	Grosbeak	636	322,33	374,79	26	3,973	7	3,089	9,27	25,16	893	409,8	1302,8	68,5	31,5	11412	11052	0,0896	0,1075	0,01021	0,3457	0,2089	887
38	Scoter	636	322,22	397,39	30	3,698	7	3,698	11,09	25,89	894,9	587,2	1482,1	60,4	39,6	13775	13260	0,0898	0,1078	0,0107	0,3422	0,2075	892
39	Egret	636	322,21	395,75	30	3,698	19	2,22	11,1	25,89	894,9	575,6	1470,5	60,9	39,1	14300	13812	0,0898	0,1069	0,0107	0,3422	0,2075	896
40	Goose	636	322,14	363,9	54	2,756	7	2,756	8,27	24,8	892,5	326,2	1218,7	73,2	26,8	10583	10297	0,0896	0,1066	0,01004	0,347	0,2096	887
41	Flamingo	666,6	337,91	381,69	24	4,234	7	2,822	8,47	25,4	936,2	342	1278,2	73,2	26,8	10773	10473	0,0855	0,1032	0,0102	0,3458	0,2084	907
42	Gannet	666,6	337,76	392,73	26	4,067	7	3,162	9,49	25,75	935,8	429,4	1365,2	68,5	31,5	11958	11581	0,0855	0,1032	0,01045	0,344	0,2078	911
43	Stilt	715,5	362,78	409,77	24	4,387	7	2,924	8,77	26,32	1005,1	367,1	1372,2	73,2	26,8	11566	11244	0,0796	0,096	0,01057	0,3431	0,2067	949
44	Starling	715,5	362,62	421,66	26	4,214	7	3,277	9,83	26,69	1004,7	461,2	1465,8	68,5	31,5	12841	12436	0,0796	0,0957	0,01083	0,3413	0,2061	954
45	Redwing	715,5	362,43	444,98	30	3,922	19	2,352	11,76	27,45	1006,6	646,1	1652,7	60,9	39,1	15692	15144	0,0799	0,0951	0,01134	0,3378	0,2047	964
46	Coot	795	402,71	413,9	36	3,774	1	3,774	3,77	26,42	1110,3	87,1	1197,4	92,7	7,3	7597	7520	0,0714	0,085	0,01092	0,3407	0,2065	1010
47	Cuckoo	795	402,86	455,05	24	4,623	7	3,081	9,24	27,74	1116,2	407,7	1523,8	73,2	26,8	12639	12281	0,0717	0,0865	0,01114	0,3391	0,2042	1014
48	Drake	795	402,92	468,51	26	4,442	7	3,454	10,36	28,13	1116,3	512,3	1628,7	68,5	31,5	14266	13817	0,0717	0,0864	0,01142	0,3373	0,2035	1018
49	Mallard	795	402,87	494,8	30	4,135	19	2,482	12,41	28,95	1118,9	719,5	1838,4	60,9	39,1	17463	16853	0,0719	0,0858	0,01196	0,3338	0,2022	1029
