34	T-Lilac	795	403,2	61	2,901	26,11	1111,6	6513	0,0727	0,0901	0,0974	0,1046	0,1118	0,01008	0,3467	0,2071	978	1171	1319	1439
35	T-Anemone	874,5	443,13	37	3,905	27,34	1221,7	6785	0,0661	0,0823	0,0888	0,0954	0,102	0,01049	0,3437	0,2049	1036	1241	1398	1527
36	T-Cockscomb	900	456,16	37	3,962	27,73	1257,7	6984	0,0643	0,08	0,0863	0,0927	0,0991	0,01065	0,3426	0,2042	1054	1263	1424	1555
37	T-Snapdragon	900	456,26	61	3,086	27,77	1257,9	7202	0,0642	0,08	0,0863	0,0927	0,0991	0,01072	0,342	0,2042	1055	1264	1425	1556
38	T-Magnolia	954	483,5	37	4,079	28,55	1333	7403	0,0606	0,0756	0,0816	0,0876	0,0936	0,01096	0,3404	0,2028	1092	1309	1476	1612
39	T-Goldenrod	954	483,87	61	3,178	28,6	1334,1	7638	0,0606	0,0756	0,0816	0,0876	0,0936	0,01104	0,3398	0,2028	1093	1310	1478	1614
40	T-Hawkweed	1000	506,77	37	4,176	29,23	1397,2	7759	0,0578	0,0723	0,078	0,0837	0,0895	0,01122	0,3386	0,2017	1124	1348	1520	1661
41	T-Camelia	1000	506,35	61	3,251	29,26	1396	7993	0,0579	0,0724	0,0781	0,0838	0,0895	0,0113	0,3381	0,2017	1124	1348	1520	1660
42	T-Bluebell	1033,5	523,41	37	4,244	29,71	1443,1	8014	0,056	0,0701	0,0756	0,0812	0,0867	0,0114	0,3374	0,2009	1146	1375	1551	1694
43	T-Larkspur	1035	523,95	61	3,307	29,76	1444,6	8271	0,0559	0,07	0,0756	0,0811	0,0866	0,01149	0,3368	0,2009	1147	1376	1552	1696
44	T-Marigold	1113	564,31	61	3,432	30,89	1555,8	8908	0,0519	0,0653	0,0704	0,0755	0,0806	0,01193	0,334	0,1991	1200	1440	1625	1776
45	T-Hawthorn	1192	604,12	61	3,551	31,96	1665,6	9536	0,0485	0,0612	0,066	0,0707	0,0755	0,01234	0,3314	0,1975	1250	1501	1695	1853
