// [cabo][bitola][bitola][fases]	r1	x1	r2	x2	r0	x0	Cabo1	Cabo2	Cabo3	Nominal	Emergencia
1073	0,3184	0,4237	0,3184	0,4237	0,8378	1,4286	3F - Cabo de Alumfnio simples 4/0 AWG - 107,20 mm2    C	3#CA4/0AWG	Cabo de Alumínio CA 4/0AWG - 107,20mm	314	425
1081	0,2006	0,4277	0,2006	0,4277	0,4077	1,2593	1F - Cabo de alumfnio simples 336,4 MCM  - 170,50 mm2	1#CA336MCM	Cabo de Alumínio CA 336,4MCM - 170,50mm	425	576
1082	0,2006	0,4277	0,2006	0,4277	0,4077	1,2593	2F - Cabo de alumfnio simples 336,4 MCM  - 170,50 mm2	2#CA336MCM	Cabo de Alumínio CA 336,4MCM - 170,50mm	425	576
1083	0,2006	0,4026	0,2006	0,4026	0,72	1,407	3F - Cabo de alumfnio simples 336,4 MCM  - 170,50 mm2	3#CA336MCM	Cabo de Alumínio CA 336,4MCM - 170,50mm	425	576
2011	2,6058	0,507	2,6058	0,507	7,8174	1,521	1F - Cabo de Alumfnio Alma de Ato 6 AWG - 13,30 mm2	1#CAA6AWG	Cabo de Alumínio CAA 6AWG - 13,30mm	84	113
2012	2,6058	0,507	2,6058	0,507	7,8174	1,521	2F - Cabo de Alumfnio Alma de Ato 6 AWG - 13,30 mm2	2#CAA6AWG	Cabo de Alumínio CAA 6AWG - 13,30mm	84	113
2013	2,6058	0,507	2,6058	0,507	7,8174	1,521	3F - Cabo de Alumfnio Alma de Ato 6 AWG - 13,30 mm2	3#CAA6AWG	Cabo de Alumínio CAA 6AWG - 13,30mm	84	113
2021	1,6397	0,5457	1,6397	0,5457	1,827	1,0082	1F - Cabo de alumfnio Alma de Ato 4 AWG - 21,15 mm2	1#CAA4AWG	Cabo de Alumínio CAA 4AWG - 21,15mm	112	152
2022	1,6397	0,5457	1,6397	0,5457	2,1659	1,9158	2F - Cabo de alumfnio Alma de Ato 4 AWG - 21,15 mm2	2#CAA4AWG	Cabo de Alumínio CAA 4AWG - 21,15mm	112	152
2023	1,6397	0,5207	1,6397	0,5207	2,3888	1,9513	3F - Cabo de alumfnio Alma de Ato 4 AWG - 21,15 mm2	3#CAA4AWG	Cabo de Alumínio CAA 4AWG - 21,15mm	112	152
2031	1,0323	0,5244	1,0323	0,5244	1,2781	0,829	1F - Cabo de Alumfnio Alma de Ato 2 AWG - 33,63 mm2	1#CAA2AWG	Cabo de Alumínio CAA 2AWG - 33,63mm	151	204
2032	1,0323	0,5495	1,0323	0,5495	1,5686	1,8982	2F - Cabo de Alumfnio Alma de Ato 2 AWG - 33,63 mm2	2#CAA2AWG	Cabo de Alumínio CAA 2AWG - 33,63mm	151	204
2033	1,0323	0,5244	1,0323	0,5244	1,7636	1,8982	3F - Cabo de Alumfnio Alma de Ato 2 AWG - 33,63 mm2	3#CAA2AWG	Cabo de Alumínio CAA 2AWG - 33,63mm	151	204
2041	0,65	0,5188	0,65	0,5188	0,8882	0,8553	1F - Cabo de Alumfnio Alma de Ato 1/0 AWG - 53,43 mm2	1#CAA1/0AWG	Cabo de Alumínio CAA 1/0AWG - 53,43mm	203	275
2042	0,65	0,5439	0,65	0,5439	1,145	1,6436	2F - Cabo de Alumfnio Alma de Ato 1/0 AWG - 53,43 mm2	2#CAA1/0AWG	Cabo de Alumínio CAA 1/0AWG - 53,43mm	203	275
2043	0,65	0,5188	0,65	0,5188	1,347	1,6436	3F - Cabo de Alumfnio Alma de Ato 1/0 AWG - 53,43 mm2	3#CAA1/0AWG	Cabo de Alumínio CAA 1/0AWG - 53,43mm	203	275
2051	0,5167	0,4876	0,5167	0,4876	1,5501	1,4628	1F - Cabo de Alumfnio Alma de Ato 2/0 AWG - 67,43 mm2	1#CAA2/0AWG	Cabo de Alumínio CAA 2/0AWG - 67,43mm	233	317
2052	0,5167	0,4876	0,5167	0,4876	1,5501	1,4628	2F - Cabo de Alumfnio Alma de Ato 2/0 AWG - 67,43 mm2	2#CAA2/0AWG	Cabo de Alumínio CAA 2/0AWG - 67,43mm	233	317
2053	0,5167	0,4876	0,5167	0,4876	1,5501	1,4628	3F - Cabo de Alumfnio Alma de Ato 2/0 AWG - 67,43 mm2	3#CAA2/0AWG	Cabo de Alumínio CAA 2/0AWG - 67,43mm	233	317
2061	0,4099	0,4753	0,4099	0,4753	1,2297	1,4259	1F - Cabo de Alumfnio Alma de Ato 3/0 AWG - 85,03 mm2	1#CAA3/0AWG	Cabo de Alumínio CAA 3/0AWG - 85,03mm	294	371
2062	0,4099	0,4753	0,4099	0,4753	1,2297	1,4259	2F - Cabo de Alumfnio Alma de Ato 3/0 AWG - 85,03 mm2	2#CAA3/0AWG	Cabo de Alumínio CAA 3/0AWG - 85,03mm	294	371
2063	0,4099	0,4753	0,4099	0,4753	1,2297	1,4259	3F - Cabo de Alumfnio Alma de Ato 3/0 AWG - 85,03 mm2	3#CAA3/0AWG	Cabo de Alumínio CAA 3/0AWG - 85,03mm	294	371
2071	0,3257	0,4722	0,3257	0,4722	0,5691	0,829	1F - Cabo de Alumfnio Alma de Ato 4/0 AWG - 107,20 mm2	1#CAA4/0AWG	Cabo de Alumínio CAA 4/0AWG - 107,20mm	318	430
2072	0,3257	0,4973	0,3257	0,4973	0,6908	1,435	2F - Cabo de Alumfnio Alma de Ato 4/0 AWG - 107,20 mm2	2#CAA4/0AWG	Cabo de Alumínio CAA 4/0AWG - 107,20mm	318	430
2073	0,3257	0,4722	0,3257	0,4722	0,8445	1,435	3F - Cabo de Alumfnio Alma de Ato 4/0 AWG - 107,20 mm2	3#CAA4/0AWG	Cabo de Alumínio CAA 4/0AWG - 107,20mm	318	430
2081	0,2035	0,4165	0,2035	0,4165	0,5759	1,4021	1F - Cabo de Alumfnio Alma de Ato 336,4 MCM -170,50 mm2	1#CAA336MCM	Cabo de Alumínio CAA 336,4MCM - 170,50mm	432	586
2082	0,2035	0,4165	0,2035	0,4165	0,5759	1,4021	2F - Cabo de Alumfnio Alma de Ato 336,4 MCM -170,50 mm2	2#CAA336MCM	Cabo de Alumínio CAA 336,4MCM - 170,50mm	432	586
2083	0,2035	0,3914	0,2035	0,3914	0,5002	1,2655	3F - Cabo de Alumfnio Alma de Ato 336,4 MCM -170,50 mm2	3#CAA336MCM	Cabo de Alumínio CAA 336,4MCM - 170,50mm	432	586
4011	0,9282	0,1562	0,9282	0,1562	2,7846	0,4686	1F - Cabo Isolado de Cobre  4 AWG - 21,15 mm2 - 15 kV	1#ISLCU4AWG	Cabo Isolado de Cobre 4AWG - 21,15mm - 15 kV	136	136
4012	0,9282	0,1562	0,9282	0,1562	2,7846	0,4686	2F - Cabo Isolado de Cobre  4 AWG - 21,15 mm2 - 15 kV	2#ISLCU4AWG	Cabo Isolado de Cobre 4AWG - 21,15mm - 15 kV	136	136
4013	0,9282	0,1562	0,9282	0,1562	2,7846	0,4686	3F - Cabo Isolado de Cobre  4 AWG - 21,15 mm2 - 15 kV	3#ISLCU4AWG	Cabo Isolado de Cobre 4AWG - 21,15mm - 15 kV	136	136
4021	0,6694	0,148	0,6694	0,148	2,0082	0,444	1F - Cabo isolado de Cobre  2 AWG - 33,63 mm2 - 15 kV	1#ISLCU2AWG	Cabo Isolado de Cobre 2AWG - 33,63mm - 15 kV	116	116
4022	0,6694	0,148	0,6694	0,148	2,0082	0,444	2F - Cabo isolado de Cobre  2 AWG - 33,63 mm2 - 15 kV	2#ISLCU2AWG	Cabo Isolado de Cobre 2AWG - 33,63mm - 15 kV	116	116
4023	0,6694	0,148	0,6694	0,148	2,0082	0,444	3F - Cabo isolado de Cobre  2 AWG - 33,63 mm2 - 15 kV	3#ISLCU2AWG	Cabo Isolado de Cobre 2AWG - 33,63mm - 15 kV	116	116
4031	0,4002	0,228	0,4002	0,228	1,2006	0,684	1F - Cabo Isolado de Cobre 1/0 AWG - 53,43 mm2 - 15 kV	1#ISLCU1/0AWG	Cabo Isolado de Cobre 1/0AWG - 53,43mm - 15 kV	149	149
4032	0,4002	0,228	0,4002	0,228	1,2006	0,684	2F - Cabo Isolado de Cobre 1/0 AWG - 53,43 mm2 - 15 kV	2#ISLCU1/0AWG	Cabo Isolado de Cobre 1/0AWG - 53,43mm - 15 kV	149	149
4033	0,4002	0,228	0,4002	0,228	1,2006	0,684	3F - Cabo Isolado de Cobre 1/0 AWG - 53,43 mm2 - 15 kV	3#ISLCU1/0AWG	Cabo Isolado de Cobre 1/0AWG - 53,43mm - 15 kV	149	149
4041	0,2078	0,141	0,2078	0,141	0,6234	0,423	1F - Cabo de Cobre Isolado 4/0 AWG - 107,20 mm2 - 15 kV	1#ISLCU4/0AWG	Cabo de Cobre Isolado 4/0AWG - 107,20mm - 15 kV	375	375
4042	0,2078	0,141	0,2078	0,141	0,6234	0,423	2F - Cabo de Cobre Isolado 4/0 AWG - 107,20 mm2 - 15 kV	2#ISLCU4/0AWG	Cabo de Cobre Isolado 4/0AWG - 107,20mm - 15 kV	375	375
4043	0,2078	0,141	0,2078	0,141	0,6234	0,423	3F - Cabo de Cobre Isolado 4/0 AWG - 107,20 mm2 - 15 kV	3#ISLCU4/0AWG	Cabo de Cobre Isolado 4/0AWG - 107,20mm - 15 kV	375	375
6011	1,0994	0,166	1,0994	0,166	3,2982	0,498	1F - Cabo Isolado de Alumfnio 2 AWG - 33,63 mm2 - 15kV	1#RDI2AWG	Cabo de Alumínio Isol 2AWG - 33,63mm - 15kV	116	116
6012	1,0994	0,166	1,0994	0,166	3,2982	0,498	2F - Cabo Isolado de Alumfnio 2 AWG - 33,63 mm2 - 15kV	2#RDI2AWG	Cabo de Alumínio Isol 2AWG - 33,63mm - 15kV	116	116
6013	1,0994	0,166	1,0994	0,166	3,2982	0,498	3F - Cabo Isolado de Alumfnio 2 AWG - 33,63 mm2 - 15kV	3#RDI2AWG	Cabo de Alumínio Isol 2AWG - 33,63mm - 15kV	116	116
6021	0,6913	0,151	0,6913	0,151	2,0739	0,453	1F - Cabo Isolado de Alumfnio 1/0 AWG - 53,43 mm2-15kV	1#RDI1/0AWG	Cabo de Alumínio Isol 1/0AWG - 53,43mm - 15kV	151	151
6022	0,6913	0,151	0,6913	0,151	2,0739	0,453	2F - Cabo Isolado de Alumfnio 1/0 AWG - 53,43 mm2-15kV	2#RDI1/0AWG	Cabo de Alumínio Isol 1/0AWG - 53,43mm - 15kV	151	151
6023	0,6913	0,151	0,6913	0,151	2,0739	0,453	3F - Cabo Isolado de Alumfnio 1/0 AWG - 53,43 mm2-15kV	3#RDI1/0AWG	Cabo de Alumínio Isol 1/0AWG - 53,43mm - 15kV	151	151
6031	0,5484	0,145	0,5484	0,145	1,6452	0,435	1F - Cabo Isolado de Alumfnio 2/0 AWG - 67,43 mm2-15 kV	1#RDI2/0AWG	Cabo de Alumínio Isol 2/0AWG - 67,43mm - 15 kV	171	171
6032	0,5484	0,145	0,5484	0,145	1,6452	0,435	2F - Cabo Isolado de Alumfnio 2/0 AWG - 67,43 mm2-15 kV	2#RDI2/0AWG	Cabo de Alumínio Isol 2/0AWG - 67,43mm - 15 kV	171	171
6033	0,5484	0,145	0,5484	0,145	1,6452	0,435	3F - Cabo Isolado de Alumfnio 2/0 AWG - 67,43 mm2-15 kV	3#RDI2/0AWG	Cabo de Alumínio Isol 2/0AWG - 67,43mm - 15 kV	171	171
6041	0,2924	0,133	0,2924	0,133	0,8772	0,399	1F - Cabo Isolado de Alumfnio 250 MCM - 15 kV	1#RDI250MCM	Cabo de Alumínio Isol 250MCM - 15 kV	243	243
6042	0,2924	0,133	0,2924	0,133	0,8772	0,399	2F - Cabo Isolado de Alumfnio 250 MCM - 15 kV	2#RDI250MCM	Cabo de Alumínio Isol 250MCM - 15 kV	243	243
