// [cabo][bitola][bitola][fases]	r1	x1	r2	x2	r0	x0	Cabo1	Cabo2	Cabo3	Nominal	Emergencia
A013	1,0161	0,4679	1,0161	0,4679	3,0483	1,4037	3F - Cabo Protegido XLPE 2 AWG  - 33,63 mm2 -  15 kV	3#RDP2AWG	Cabo Protegido XLPE 2AWG - 33,63mm - 15 kV	150	150
A021	0,6387	0,4505	0,6387	0,4505	1,9161	1,3515	1F - Cabo protegido XLPE  1/0 AWG - 53,43 mm2 - 15 kV	1#RDP1/0AWG	Cabo protegido XLPE 1/0AWG - 53,43mm - 15 kV	210	210
A022	0,6387	0,4505	0,6387	0,4505	1,9161	1,3515	2F - Cabo protegido XLPE  1/0 AWG - 53,43 mm2 - 15 kV	2#RDP1/0AWG	Cabo protegido XLPE 1/0AWG - 53,43mm - 15 kV	210	210
A023	0,6387	0,4505	0,6387	0,4505	1,9161	1,3515	3F - Cabo protegido XLPE  1/0 AWG - 53,43 mm2 - 15 kV	3#RDP1/0AWG	Cabo protegido XLPE 1/0AWG - 53,43mm - 15 kV	210	210
A031	0,3182	0,4237	0,3182	0,4237	0,9546	1,2711	1F - Cabo Protegido XLPE 4/0 AWG - 107,20 mm2 - 15 kV	1#RDP4/0AWG	Cabo Protegido XLPE 4/0AWG - 107,20mm - 15 kV	325	325
A032	0,3182	0,4237	0,3182	0,4237	0,9546	1,2711	2F - Cabo Protegido XLPE 4/0 AWG - 107,20 mm2 - 15 kV	2#RDP4/0AWG	Cabo Protegido XLPE 4/0AWG - 107,20mm - 15 kV	325	325
A033	0,3182	0,4237	0,3182	0,4237	0,9546	1,2711	3F - Cabo Protegido XLPE 4/0 AWG - 107,20 mm2 - 15 kV	3#RDP4/0AWG	Cabo Protegido XLPE 4/0AWG - 107,20mm - 15 kV	325	325
A041	0,1997	0,4026	0,1997	0,4026	0,5991	1,2078	1F - Cabo Protegido XLPE 336,4 MCM - 170,50 mm2 - 15 kV	1#RDP336MCM	Cabo Protegido XLPE 336,4MCM - 170,50mm - 15 kV	420	420
A042	0,1997	0,4026	0,1997	0,4026	0,5991	1,2078	2F - Cabo Protegido XLPE 336,4 MCM - 170,50 mm2 - 15 kV	2#RDP336MCM	Cabo Protegido XLPE 336,4MCM - 170,50mm - 15 kV	420	420
A043	0,1997	0,4026	0,1997	0,4026	0,5991	1,2078	3F - Cabo Protegido XLPE 336,4 MCM - 170,50 mm2 - 15 kV	3#RDP336MCM	Cabo Protegido XLPE 336,4MCM - 170,50mm - 15 kV	420	420
A051	0,9566	0,4665	0,9566	0,4665	2,8698	1,3995	1F - Cabo Protegido XLPE 35 mm2 - 15kV	1#RDP35mm2	Cabo Protegido XLPE 35mm - 15kV	189	189
A052	0,9566	0,4665	0,9566	0,4665	2,8698	1,3995	2F - Cabo Protegido XLPE 35 mm2 - 15kV	2#RDP35mm2	Cabo Protegido XLPE 35mm - 15kV	189	189
A053	0,9566	0,4665	0,9566	0,4665	2,8698	1,3995	3F - Cabo Protegido XLPE 35 mm2 - 15kV	3#RDP35mm2	Cabo Protegido XLPE 35mm - 15kV	189	189
A061	0,7394	0,3048	0,7394	0,3048	2,2182	0,9144	1F - Cabo Protegido XLPE 50 mm2 - 15kV	1#RDP50mm2	Cabo Protegido XLPE 50mm - 15kV	229	229
A062	0,7394	0,3048	0,7394	0,3048	2,2182	0,9144	2F - Cabo Protegido XLPE 50 mm2 - 15kV	2#RDP50mm2	Cabo Protegido XLPE 50mm - 15kV	229	229
A063	0,7394	0,3048	0,7394	0,3048	2,2182	0,9144	3F - Cabo Protegido XLPE 50 mm2 - 15kV	3#RDP50mm2	Cabo Protegido XLPE 50mm - 15kV	229	229
A071	0,3894	0,2786	0,3894	0,2786	1,1682	0,8358	1F - Cabo Protegido XLPE 95 mm2 - 15kV	1#RDP95mm2	Cabo Protegido XLPE 95mm - 15kV	344	344
A072	0,3894	0,2786	0,3894	0,2786	1,1682	0,8358	2F - Cabo Protegido XLPE 95 mm2 - 15kV	2#RDP95mm2	Cabo Protegido XLPE 95mm - 15kV	344	344
A073	0,3894	0,2786	0,3894	0,2786	1,1682	0,8358	3F - Cabo Protegido XLPE 95 mm2 - 15kV	3#RDP95mm2	Cabo Protegido XLPE 95mm - 15kV	344	344
A081	0,2469	0,261	0,2469	0,261	0,7407	0,783	1F - Cabo Protegido XLPE 150 mm2 - 15kV	1#RDP150mm2	Cabo Protegido XLPE 150mm - 15kV	492	492
A082	0,2469	0,261	0,2469	0,261	0,7407	0,783	2F - Cabo Protegido XLPE 150 mm2 - 15kV	2#RDP150mm2	Cabo Protegido XLPE 150mm - 15kV	492	492
A083	0,2469	0,261	0,2469	0,261	0,7407	0,783	3F - Cabo Protegido XLPE 150 mm2 - 15kV	3#RDP150mm2	Cabo Protegido XLPE 150mm - 15kV	492	492
A091	0,5147	0,15	0,5147	0,15	1,5441	0,45	1F - Cabo Protegido XLPE 70 mm2 - 15kV	1#RDP70mm2	Cabo Protegido XLPE 70mm - 15kV	180	180
A092	0,5147	0,15	0,5147	0,15	1,5441	0,45	2F - Cabo Protegido XLPE 70 mm2 - 15kV	2#RDP70mm2	Cabo Protegido XLPE 70mm - 15kV	180	180
A093	0,5147	0,15	0,5147	0,15	1,5441	0,45	3F - Cabo Protegido XLPE 70 mm2 - 15kV	3#RDP70mm2	Cabo Protegido XLPE 70mm - 15kV	180	180
A101	0,2944	0,14	0,2944	0,14	0,8832	0,42	1F - Cabo Protegido XLPE 120 mm2 - 15kV	1#RDP120mm2	Cabo Protegido XLPE 120mm - 15kV	251	251
A102	0,2944	0,14	0,2944	0,14	0,8832	0,42	2F - Cabo Protegido XLPE 120 mm2 - 15kV	2#RDP120mm2	Cabo Protegido XLPE 120mm - 15kV	251	251
A103	0,2944	0,14	0,2944	0,14	0,8832	0,42	3F - Cabo Protegido XLPE 120 mm2 - 15kV	3#RDP120mm2	Cabo Protegido XLPE 120mm - 15kV	251	251
A111	0,3184	0,4025	0,3184	0,4025	0,9552	1,2075	1F - Cabo Protegido XLPE 185 mm2 - 15kV	1#RDP185mm2	Cabo Protegido XLPE 185mm - 15kV	425	425
A112	0,3184	0,4025	0,3184	0,4025	0,9552	1,2075	2F - Cabo Protegido XLPE 185 mm2 - 15kV	2#RDP185mm2	Cabo Protegido XLPE 185mm - 15kV	425	425
A113	0,3184	0,4025	0,3184	0,4025	0,9552	1,2075	3F - Cabo Protegido XLPE 185 mm2 - 15kV	3#RDP185mm2	Cabo Protegido XLPE 185mm - 15kV	425	425
A121	0,1464	0,13	0,1464	0,13	0,4392	0,39	1F - Cabo Protegido XLPE 240 mm2 - 15kV	1#RDP240mm2	Cabo Protegido XLPE 240mm - 15kV	425	425
A122	0,1464	0,13	0,1464	0,13	0,4392	0,39	2F - Cabo Protegido XLPE 240 mm2 - 15kV	2#RDP240mm2	Cabo Protegido XLPE 240mm - 15kV	425	425
A123	0,1464	0,13	0,1464	0,13	0,4392	0,39	3F - Cabo Protegido XLPE 240 mm2 - 15kV	3#RDP240mm2	Cabo Protegido XLPE 240mm - 15kV	425	425
C011	16,07	0	16,07	0	48,21	0	1F - Cabo Condutor de Ato Zincado 11,93 mm2 - 3x2,25 mm	1#CCZIN11mm2	Cabo Condutor de Aço Zincado 11,93mm - 3x2,25 mm	37	37
C012	16,07	0	16,07	0	48,21	0	2F - Cabo Condutor de Ato Zincado 11,93 mm2 - 3x2,25 mm	2#CCZIN11mm2	Cabo Condutor de Aço Zincado 11,93mm - 3x2,25 mm	37	37
C013	16,07	0	16,07	0	48,21	0	3F - Cabo Condutor de Ato Zincado 11,93 mm2 - 3x2,25 mm	3#CCZIN11mm2	Cabo Condutor de Aço Zincado 11,93mm - 3x2,25 mm	37	37
D011	16,07	0	16,07	0	48,21	0	1F - Cabo de Aço Zincado 9,5 mm2	1#CZIN9mm2		1	1
D012	16,07	0	16,07	0	48,21	0	2F - Cabo de Aço Zincado 9,5 mm2	2#CZIN9mm2		1	1
D013	16,07	0	16,07	0	48,21	0	3F - Cabo de Aço Zincado 9,5 mm2	3#CZIN9mm2		1	1
D021	16,07	0	16,07	0	48,21	0	1F - Cabo de Aço Zincado 6,4 mm2	1#CZIN6mm2		1	1
D022	16,07	0	16,07	0	48,21	0	2F - Cabo de Aço Zincado 6,4 mm2	2#CZIN6mm2		1	1
D023	16,07	0	16,07	0	48,21	0	3F - Cabo de Aço Zincado 6,4 mm2	3#CZIN6mm2		1	1
D031	16,07	0	16,07	0	48,21	0	1F - Cabo de Aço Zincado 11,93 mm2	1#CZIN11mm2		1	1
D032	16,07	0	16,07	0	48,21	0	2F - Cabo de Aço Zincado 11,93 mm2	2#CZIN11mm2		1	1
D033	16,07	0	16,07	0	48,21	0	3F - Cabo de Aço Zincado 11,93 mm2	3#CZIN11mm2		1	1
F011	0	0	0	0	0	0	1F - Liga de alumfnio nu	1#LAL		1	1
F012	0	0	0	0	0	0	2F - Liga de alumfnio nu	2#LAL		1	1
F013	0	0	0	0	0	0	3F - Liga de alumfnio nu	3#LAL		1	1
I011	0	0	0	0	0	0	1F - Cabo Protegido XLPE 70 mm2 - 35kV	1#RDP70mm2	Cabo Protegido XLPE 70mm - 15kV	180	180
I012	0	0	0	0	0	0	2F - Cabo Protegido XLPE 70 mm2 - 35kV	2#RDP70mm2	Cabo Protegido XLPE 70mm - 15kV	180	180
I013	0	0	0	0	0	0	3F - Cabo Protegido XLPE 70 mm2 - 35kV	3#RDP70mm2	Cabo Protegido XLPE 70mm - 15kV	180	180
I021	0	0	0	0	0	0	1F - Cabo Protegido XLPE 150 mm2 - 35kV	1#RDP150mm2	Cabo Protegido XLPE 150mm - 15kV	492	492
I022	0	0	0	0	0	0	2F - Cabo Protegido XLPE 150 mm2 - 35kV	2#RDP150mm2	Cabo Protegido XLPE 150mm - 15kV	492	492
I023	0	0	0	0	0	0	3F - Cabo Protegido XLPE 150 mm2 - 35kV	3#RDP150mm2	Cabo Protegido XLPE 150mm - 15kV	492	492
